Project_ID,Project_Type,Area,Floor_Count,Structure_Type,Contract_Type,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Delay,Labor_Total,Equipment_Count,Resource_Utilization,Change_Order_Count,Change_Cost_Ratio,Defect_Count,Defect_Severity,Repair_Cost,Accident_Count,Risk_Level,Temperature,Rainfall
P000001,Building,12505,3,SRC,Design-Build,55933286985,62140707241,0.110979,310,339,0.093594,55,2,0.7155,1,0.0138,2,0.4908,136482055,1,0.1477,16.1,14.0
P000002,Remodeling,2230,10,SRC,Turnkey,10260857113,13237347066,0.290082,107,131,0.231779,29,1,0.9166,0,0.0014,7,0.4878,69968984,3,0.2606,13.8,26.1
P000003,Infrastructure,25663,2,Steel,Design-Build,113835497352,143916641362,0.264251,334,397,0.190273,112,5,0.788,3,0.0453,6,0.3433,763019143,2,0.2586,7.2,25.0
P000004,Infrastructure,73112,4,Steel,Turnkey,327847107133,420747174798,0.283364,844,964,0.142752,87,9,0.6618,4,0.0638,4,0.3557,2206776900,0,0.1667,18.3,62.3
P000005,Building,9016,6,Steel,Design-Build,23487617527,27498457046,0.170764,162,192,0.189504,68,2,0.7301,0,0.0046,5,0.2095,49202771,2,0.2656,15.0,51.7
P000006,Building,12720,9,Composite,Design-Build,50957629493,56848331462,0.1156,215,211,-0.015489,66,3,0.6878,1,0.0296,4,0.324,117577695,1,0.0945,23.6,29.5
P000007,Building,3502,1,Masonry,Turnkey,6629505830,8241569615,0.243165,113,122,0.08694,22,2,0.6167,5,0.0617,5,0.1672,7683729,1,0.1829,13.8,66.1
P000008,Remodeling,10203,14,Composite,CM-at-Risk,53639681287,69284284370,0.291661,331,451,0.365164,90,7,0.769,1,0.0169,6,0.4189,561293651,1,0.2649,23.2,47.8
P000009,Infrastructure,79295,5,Steel,DBB,179705824846,238093505279,0.324907,502,642,0.279283,231,16,0.7104,1,0.0205,2,0.0629,39870944,2,0.2855,8.3,24.8
P000010,Infrastructure,229643,3,SRC,Design-Build,838464668339,1114156043612,0.328805,1303,1511,0.160213,295,12,0.8136,6,0.0965,7,0.2798,1852587392,1,0.2221,39.8,80.7
P000011,Building,27554,16,RC,Design-Build,79467463951,100620034038,0.266179,362,430,0.190028,98,10,0.9338,1,0.0429,3,0.1176,90686610,4,0.2995,5.8,23.3
P000012,Remodeling,8259,1,Masonry,Design-Build,25046913673,29083023436,0.161142,217,247,0.139388,28,2,0.8296,0,0.0036,1,0.1932,20140521,2,0.1692,7.0,13.6
P000013,Remodeling,5070,7,RC,Design-Build,18080331284,23532183977,0.301535,200,229,0.149868,56,2,0.8835,3,0.0535,3,0.3885,102695053,2,0.1723,10.9,49.1
P000014,Building,3668,17,Steel,Turnkey,15846284184,18859756200,0.190169,156,160,0.027306,35,2,0.7854,4,0.0645,8,0.3483,127941403,1,0.2023,-3.4,10.0
P000015,Building,2796,22,RC,Design-Build,7683391333,10490241754,0.365314,127,158,0.249643,47,4,0.9005,6,0.0659,10,0.5747,143815678,3,0.2989,0.7,76.4
P000016,Building,56179,12,Composite,Turnkey,129475717823,159892023978,0.234919,295,311,0.054421,147,4,0.8325,4,0.057,3,0.4775,803569552,2,0.2256,6.3,152.3
P000017,Building,20784,20,SRC,DBB,45758338882,61261858953,0.338813,209,278,0.334086,88,6,0.5684,1,0.0253,7,0.5459,543752092,2,0.2508,6.3,10.7
P000018,Infrastructure,31504,5,Steel,DBB,151408403965,208236671633,0.375331,523,608,0.164324,97,6,0.676,6,0.0908,4,0.142,360201000,0,0.1972,18.7,6.5
P000019,Building,4429,9,SRC,Turnkey,10448546513,14328697848,0.371358,139,166,0.197342,27,1,0.7802,4,0.0751,7,0.1731,14015679,4,0.351,18.1,124.6
P000020,Building,22032,20,RC,Turnkey,62209513369,77047539869,0.238517,254,329,0.297084,140,5,0.8858,1,0.0152,3,0.4706,292328063,1,0.262,17.8,10.5
P000021,Infrastructure,87348,1,Composite,DBB,319283148723,414616307684,0.298585,611,782,0.280345,174,10,0.8257,1,0.0144,4,0.3154,1716554862,2,0.2288,16.7,10.5
P000022,Building,28947,15,RC,Turnkey,136119103838,162417450818,0.193201,398,445,0.119905,99,11,0.4474,3,0.0328,4,0.1623,276184488,1,0.1797,7.9,33.8
P000023,Building,27032,28,SRC,CM-at-Risk,165753703279,184647470654,0.113987,492,522,0.061439,117,8,0.8473,2,0.0253,3,0.2481,284954389,0,0.0749,21.9,124.3
P000024,Building,34792,12,Masonry,Turnkey,150375057300,198392670221,0.319319,325,388,0.195001,108,3,0.6508,5,0.0648,10,0.5042,2994502374,2,0.251,-3.5,70.7
P000025,Building,11082,6,RC,Design-Build,49904023408,59376655419,0.189817,279,291,0.045544,72,7,0.6486,3,0.0447,7,0.6167,490564454,1,0.1228,11.1,26.0
P000026,Remodeling,3310,11,Steel,Design-Build,15332240657,20517159812,0.338171,119,161,0.358279,19,2,0.8692,2,0.0383,8,0.3206,69286084,0,0.213,15.8,27.4
P000027,Building,16973,11,RC,CM-at-Risk,65254408209,76209383513,0.167881,302,358,0.186724,107,6,0.7241,1,0.0128,2,0.1131,39258511,2,0.2334,20.6,49.9
P000028,Infrastructure,17168,2,Concrete,Design-Build,26835391985,30396019135,0.132684,199,227,0.143903,93,10,0.9499,3,0.0259,2,0.2939,33596358,0,0.1213,7.7,92.9
P000029,Infrastructure,47680,2,Steel,Design-Build,104332578054,139502464120,0.337094,273,326,0.197393,73,2,0.9403,3,0.0655,5,0.1461,258395045,4,0.2899,1.7,50.0
P000030,Building,4025,10,RC,Design-Build,12532316794,14153509826,0.129361,153,155,0.017121,34,3,0.6397,3,0.0339,1,0.1957,10509282,1,0.1539,14.3,29.9
P000031,Infrastructure,33564,3,Composite,Turnkey,146786828078,167778812361,0.14301,511,552,0.081565,68,6,0.8893,2,0.0269,5,0.2401,321426196,0,0.15,18.3,51.0
P000032,Building,24939,12,SRC,Turnkey,104418809002,144041361428,0.379458,389,513,0.320527,98,3,0.6813,2,0.0287,8,0.2725,1101774474,3,0.3117,8.7,91.0
P000033,Building,39760,13,Masonry,DBB,153454581780,191837869411,0.250128,518,611,0.179821,95,4,0.8213,5,0.0577,6,0.1636,493923565,0,0.1946,0.9,33.4
P000034,Remodeling,5917,4,Composite,DBB,26035521261,36160370982,0.388886,216,252,0.168535,53,4,0.5314,4,0.0658,2,0.6331,75526060,0,0.1553,5.5,4.6
P000035,Remodeling,7137,16,Concrete,DBB,27602684516,37142972762,0.345629,164,201,0.22598,56,2,0.8597,3,0.0487,3,0.3763,43177563,1,0.1915,8.2,15.3
P000036,Remodeling,5142,10,RC,DBB,15276014770,19988940294,0.308518,181,244,0.350095,29,1,0.7173,1,0.0138,5,0.2791,78425307,1,0.233,8.0,10.8
P000037,Building,26562,5,RC,DBB,80548454210,97658395756,0.212418,268,306,0.144138,60,3,0.6054,2,0.0393,3,0.1411,134110479,0,0.1848,7.4,18.9
P000038,Building,12983,20,Concrete,DBB,29459437249,35818845967,0.21587,228,256,0.126346,81,3,0.7448,2,0.0324,2,0.5461,104173901,2,0.1925,23.0,41.1
